8, 10
1, 1, 5
1, 2, 5
1, 3, 25
1, 4, 25
1, 5, 25
1, 6, 25
1, 7, 25
1, 8, 25
1, 9, 25
1, 10, 14
2, 1, 25
2, 2, 5
2, 3, 5
2, 4, 11
2, 5, 13
2, 6, 17
2, 7, 20
2, 8, 12
2, 9, 25
2, 10, 19
3, 1, 25
3, 2, 25
3, 3, 5
3, 4, 19
3, 5, 18
3, 6, 20
3, 7, 10
3, 8, 15
3, 9, 25
3, 10, 16
4, 1, 25
4, 2, 25
4, 3, 5
4, 4, 12
4, 5, 17
4, 6, 19
4, 7, 12
4, 8, 10
4, 9, 25
4, 10, 25
5, 1, 25
5, 2, 25
5, 3, 5
5, 4, 19
5, 5, 19
5, 6, 20
5, 7, 11
5, 8, 17
5, 9, 13
5, 10, 11
6, 1, 18
6, 2, 25
6, 3, 5
6, 4, 5
6, 5, 5
6, 6, 25
6, 7, 25
6, 8, 25
6, 9, 25
6, 10, 20
7, 1, 13
7, 2, 25
7, 3, 16
7, 4, 17
7, 5, 5
7, 6, 5
7, 7, 5
7, 8, 5
7, 9, 25
7, 10, 25
8, 1, 16
8, 2, 25
8, 3, 25
8, 4, 15
8, 5, 13
8, 6, 10
8, 7, 25
8, 8, 5
8, 9, 18
8, 10, 14
